datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2016-01-01,0.0,10000,0.0,10000.0,,,
1990-01-02,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-03,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-04,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-05,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-08,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-09,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-10,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-11,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-12,0.0,10000,0.0,10000.0,0.0,1.0,0.0
1990-01-15,0.0,10000,0.0,10000.0,0.0,1.0,0.0
